# source: https://github.com/datacoon/russiannames (BSD-3-Clause)
# format: kind\ttext\tgender  kind=n|m|s  gender=m|f
n	нестер	m
n	андриян	m
n	жанетта	f
n	ралиф	m
n	альмир	m
n	фларит	m
n	леся	f
n	мирослава	f
n	радион	m
n	нелла	f
n	вечеслав	m
n	габдулхак	m
n	габдулхай	m
n	феоктиста	f
n	агафия	f
n	махмуд	m
n	аслан	m
n	мурад	m
n	гражина	f
n	шариф	m
n	злата	f
n	мунира	f
n	алесандр	m
n	ильвир	m
n	зинфира	f
n	никонор	m
n	мальвина	f
n	халит	m
n	дания	f
n	зарина	f
n	сергеи	m
n	зайнулла	m
n	алимпиада	f
n	алекандр	m
n	славомир	m
n	анжелла	f
n	просковья	f
n	осип	m
n	фуат	m
n	людвиг	m
n	климентий	m
n	рафкат	m
n	аэлита	f
n	геновефа	f
n	фануза	f
n	рузиля	f
n	радмила	f
n	бари	m
n	гаджи	m
n	гертруда	f
n	дмирий	m
n	оскар	m
n	радий	m
n	василя	f
n	зенон	m
n	рамиз	m
n	альфина	f
n	рафиль	m
n	владимирович	m
n	александрович	m
n	анисия	f
n	рифгат	m
n	адель	m
n	назим	m
n	лукьян	m
n	мазит	m
n	кирил	m
n	стефания	f
n	эдмунд	m
n	дамира	f
n	флорид	m
n	заур	m
n	капитон	m
n	пелогея	f
n	курбан	m
n	фаузия	f
n	казбек	m
n	рамил	m
n	ильвира	f
n	август	m
n	хафиз	m
n	гурген	m
n	гайса	m
n	раида	f
n	саид	m
n	халида	f
n	ярослава	f
n	алиция	f
n	аскар	m
n	айно	f
n	хайрулла	m
n	габбас	m
n	рэм	m
n	хабиб	m
n	савва	m
n	сара	f
n	нагим	m
n	фридрих	m
n	вартан	m
n	акоп	m
n	шавкат	m
n	юлиан	m
n	фанзиль	m
n	диля	f
n	ван	m
n	фадей	m
n	нурислам	m
n	вилен	m
n	карапет	m
n	арутюн	m
n	нариман	m
n	димитрий	m
n	тигран	m
n	илдус	m
n	фанур	m
n	гузелия	f
n	здислав	m
n	хамзя	m
n	абдулхай	m
n	измаил	m
n	ревекка	f
n	куприян	m
n	сабит	m
n	юльян	m
n	рина	f
n	светослав	m
n	закария	m
n	феофан	m
n	шарифулла	m
n	исак	m
n	умар	m
n	гафур	m
n	иса	m
n	ариф	m
n	зифа	f
n	гагик	m
n	юлианна	f
n	сидор	m
n	модест	m
n	галимьян	m
n	елисей	m
n	зариф	m
n	леонора	f
n	аделя	f
n	виталина	f
n	разида	f
n	франтишка	f
n	гарифулла	m
n	мирза	m
n	агнесса	f
n	омар	m
n	ганна	f
n	андраник	m
n	рауза	f
n	райса	f
n	иршат	m
n	рушания	f
n	вацлава	f
n	рамзиль	m
n	петимат	f
n	рахимзян	m
n	вали	m
n	алим	m
n	гульсум	f
n	изольда	f
n	фирдаус	m
n	расуль	m
n	раушан	m
n	рауль	m
n	рузалия	f
n	милана	f
n	филимон	m
n	магсум	m
n	ксенья	f
n	хамид	m
n	аделаида	f
n	фаиз	m
n	эрнст	m
n	чулпан	m
n	ильсур	m
n	фанил	m
n	наташа	f
n	флорида	f
n	серегей	m
n	тареса	f
n	изосим	m
n	милица	f
n	аглям	m
n	ефимия	f
n	рива	f
n	оганес	m
n	эдгар	m
n	тересса	f
n	парфирий	m
n	трифон	m
n	рувим	m
n	касым	m
n	сима	f
n	ульфат	m
n	вильдан	m
n	кондратий	m
n	арменак	m
n	явдат	m
n	назиф	m
n	ризван	m
n	вахтанг	m
n	геворг	m
n	ильгизар	m
n	мечеслав	m
n	зия	m
n	ленина	f
n	тимергали	m
n	галей	m
n	фаат	m
n	назия	f
n	леонила	f
n	вальдемар	m
n	разиф	m
n	минзиля	f
n	ранис	m
n	адгам	m
n	тимерхан	m
n	нурмухамет	m
n	аполинария	f
n	грант	m
n	аршак	m
n	орест	m
n	аксинья	f
n	назира	f
n	бахтияр	m
n	нила	m
n	милена	f
n	эллина	f
n	ювеналий	m
n	хаим	m
n	влас	m
n	загир	m
n	разия	f
n	вакиль	m
n	вагиф	m
n	набиулла	m
n	феоктист	m
n	каюм	m
n	виссарион	m
n	гордей	m
n	мелания	f
n	вахит	m
n	равил	m
n	арслан	m
n	ратмир	m
n	сария	f
n	ермолай	m
n	яхия	m
n	ион	m
n	фатыма	f
n	хачатур	m
n	клим	m
n	зигмунд	m
n	иннеса	f
n	катерина	f
n	влада	f
n	элиза	f
n	калимулла	m
n	саит	m
n	эммануил	m
n	барый	m
n	андроник	m
n	самсон	m
n	ипполит	m
n	абузар	m
n	закия	f
n	стефанида	f
n	гусейн	m
n	антоний	m
n	сталина	f
n	рафит	m
n	ризида	f
n	ильнар	m
n	музагит	m
n	хатмулла	m
n	мубарак	m
n	рем	m
n	никодим	m
n	амалия	f
n	эрика	f
n	аля	f
n	райля	f
n	фаниса	f
n	нафис	m
n	винера	f
n	алишер	m
n	илгиз	m
n	галимулла	m
n	ахмадулла	m
n	хая	f
n	симон	m
n	кадыр	m
n	абдула	m
n	геня	f
n	эрна	f
n	муслим	m
n	бэлла	f
n	забир	m
n	хельми	f
n	лейсян	f
n	дана	f
n	гильмутдин	m
n	сабирзян	m
n	христофор	m
n	кабир	m
n	шарифьян	m
n	минулла	m
